均值,标准差,对比度,相异性,同质性/逆差距,角二阶矩,能量(ASM),能量(Energy),熵(Entropy)
1.1617885,19.075615,1.8670489,1.673592,24.178223,536.14655,22.879025,22.501612,8.274324
1.1626577,18.983181,1.852975,1.6633294,24.183064,536.80383,22.89584,22.522804,8.272815
1.1645416,18.947916,1.8639089,1.6750909,24.177113,536.1277,22.879362,22.503012,8.274361
1.1662352,18.945917,1.873719,1.6874148,24.170765,535.5328,22.862585,22.478907,8.275734
1.1677835,18.91182,1.8891218,1.70152,24.163801,535.0787,22.85163,22.466938,8.276777
1.1700014,18.86756,1.8970772,1.7074316,24.161007,534.73236,22.843023,22.45566,8.277565
1.1722142,18.820004,1.8908247,1.7024512,24.16339,535.24255,22.855997,22.473024,8.276454
1.1752764,18.748144,1.8894191,1.7022922,24.163382,535.5791,22.86408,22.482437,8.275681
1.1802067,18.699656,1.9101473,1.7181373,24.155827,534.5749,22.84047,22.45653,8.277999
1.1901135,18.738356,1.9408665,1.7475317,24.141233,533.5761,22.812643,22.418308,8.280296
1.2017721,18.73231,1.9308952,1.738735,24.145544,533.87836,22.817636,22.42013,8.279604
1.21714,18.922009,1.8783745,1.6927488,24.16804,536.3692,22.879223,22.496078,8.273937
1.2501204,19.612461,1.7867328,1.5998578,24.214558,541.5125,23.008272,22.657352,8.262197
1.2724826,20.189518,1.7299587,1.5383599,24.245672,545.0409,23.09452,22.761635,8.254188
1.2948786,20.4704,1.7070614,1.5182782,24.255495,546.53064,23.12865,22.79894,8.250814
1.3187163,20.517204,1.7372669,1.5458208,24.24191,545.43066,23.10154,22.766706,8.253426
1.3563879,22.407505,1.8534606,1.6626453,24.183434,540.134,22.972687,22.614145,8.265696
1.379263,23.453346,1.9203963,1.7360343,24.146244,536.51654,22.890541,22.524946,8.274058
1.3969485,24.33975,2.018881,1.8295256,24.099873,532.55597,22.797941,22.420652,8.283264
1.4242549,25.255035,2.0964727,1.9093094,24.05979,528.73364,22.708029,22.316526,8.2921095
1.4463187,26.060778,2.1184914,1.927321,24.051085,528.1929,22.692215,22.29411,8.293516
1.489779,27.413658,1.9773479,1.786665,24.121382,535.23785,22.871899,22.520657,8.277477
1.5730845,30.496284,1.8403746,1.6454726,24.19231,542.2094,23.043049,22.72566,8.26149
1.6461726,32.161106,1.9414822,1.7431878,24.143711,537.5882,22.911991,22.545826,8.271921
1.7563014,33.619564,1.927625,1.7373874,24.145971,537.6011,22.903791,22.521883,8.271689
1.9383932,32.471664,1.6559303,1.4597561,24.285254,551.15814,23.235058,22.923239,8.240343
