cA,cH,cV,cD,mean
221.5184494,-0.073734907,-0.086505889,-0.081633336,55.31914382
221.7310297,-0.072298288,-0.08041478,-0.081972955,55.37408592
222.0786197,-0.072638072,-0.085116702,-0.080229108,55.46015895
222.438136,-0.068546829,-0.084487407,-0.080796035,55.55107644
222.7179784,-0.066930089,-0.083721682,-0.082443881,55.6212207
223.0659841,-0.066353021,-0.078955932,-0.085777589,55.7087244
223.5406076,-0.0636073,-0.073843543,-0.084379334,55.82969435
224.1136395,-0.061364298,-0.072361499,-0.081632279,55.97457035
225.0087462,-0.055230775,-0.07221769,-0.081074774,56.20005573
226.6458029,-0.053986126,-0.066551983,-0.084534348,56.61018262
228.4398217,-0.051154234,-0.060117232,-0.087996417,57.06013847
230.6500176,-0.046908326,-0.058488371,-0.086223553,57.61459934
235.7899455,-0.043852908,-0.050162339,-0.08602468,58.9024764
239.7138537,-0.040290493,-0.047992127,-0.089522163,59.88401224
243.7332975,-0.032672839,-0.0419318,-0.092786128,60.89147667
247.9667165,-0.026479502,-0.034163953,-0.096271644,61.95245035
254.5031525,-0.014796827,-0.027558155,-0.104881269,63.58897905
258.0154366,-0.008684271,-0.019264142,-0.111082856,64.46910132
260.8687556,-0.002432845,-0.013057486,-0.123950346,65.18232873
264.6057915,0.008879802,-0.005645169,-0.133977204,66.11876223
267.4423693,0.011785544,-0.004025048,-0.140694085,66.82735893
272.4470785,0.008255227,0.001583467,-0.145295108,68.07790552
284.6887166,-0.009280646,-0.007874498,-0.140048719,71.13287819
296.4771283,-0.01679089,-0.016718818,-0.139028949,74.07614742
314.7461003,-0.016968333,-0.014893482,-0.127904366,78.64658353
344.0709963,-0.01000702,-0.011612502,-0.094979144,85.98859942
357.9265821,-0.001480262,-0.007588327,-0.080018931,89.45937366
368.8922097,0.003012533,0.00050789,-0.069013927,92.20667905
376.2608504,0.010475801,0.005421656,-0.064689468,94.0530146
384.4441832,0.01659356,0.014128786,-0.057667337,96.10430956
388.783877,0.02025952,0.016561959,-0.051640444,97.19226451
391.7355554,0.025050787,0.020358276,-0.052358035,97.9321516
395.1634525,0.031140003,0.027041262,-0.046592077,98.79376043
396.9323547,0.034976344,0.031913052,-0.047938915,99.23782629
398.5207158,0.041622298,0.033255443,-0.04578257,99.63745273
400.664165,0.043756721,0.03503491,-0.046947397,100.1740023
402.4562929,0.042855887,0.03563643,-0.050429718,100.6210889
403.5816771,0.04492285,0.037693948,-0.05204075,100.9030633
406.1102413,0.048722431,0.043176822,-0.049618959,101.5381304
394.5551736,0.0393983,0.034961896,-0.050674341,98.64471486
331.9226207,-0.002479312,-0.005558249,-0.075734331,82.9597122
302.2325729,-0.018409846,-0.020402018,-0.093277983,75.52512077
303.8330742,-0.01637554,-0.018957058,-0.091130163,75.92665285
309.2078388,-0.012136569,-0.017688088,-0.085386587,77.2731569
267.4708783,-0.033792075,-0.04102548,-0.125842422,66.81755458
269.6785172,-0.034010245,-0.045939218,-0.12353355,67.36875854
273.4767194,-0.032690761,-0.035515511,-0.117595977,68.32272929
277.5296487,-0.024100616,-0.033886291,-0.112374351,69.33982187
281.3681197,-0.025219872,-0.029960092,-0.110987714,70.300488
285.6963898,-0.02007388,-0.029977716,-0.105939856,71.38509959
288.8953982,-0.018591899,-0.029175044,-0.103513108,72.18602953
292.845355,-0.017777935,-0.019916859,-0.098689779,73.1772426
296.6192291,-0.016888146,-0.024408323,-0.09369316,74.12105988
296.5353884,-0.0164528,-0.029236038,-0.097732264,74.09799183
294.8633163,-0.01670383,-0.02072568,-0.102046877,73.68095997
289.2901804,-0.019878362,-0.028713829,-0.104798862,72.28419733
288.0690867,-0.025133967,-0.032258741,-0.108925731,71.97569206
288.9667479,-0.026654453,-0.035104672,-0.110083494,72.19872632
279.7358844,-0.030827271,-0.038436217,-0.12185865,69.88619056
